"store","price","vol","disp"
"MILWAUKEE - KOHLS FOOD STORE",3.06821,1598,0
"NEW ORLEANS - WINN DIXIE",2.407087,5785,0
"BUFFALO/ROCHESTER - TOPS MARKETS",3.235605,2084,0
"BUFFALO/ROCHESTER - WEGMANS",3.249663,2223,1
"CHARLOTTE - BI LO",2.333127,1618,0
"CHARLOTTE - HARRIS TEETER",2.721261,1618,0
"CHARLOTTE - WINN DIXIE",2.333678,2901,0
"CHARLOTTE - FOOD LION",2.702313,4582,1
"HARTFORD - STOP & SHOP",3.35958,1143,0
"JACKSONVILLE,FL - PUBLIX",2.993426,1369,0
"JACKSONVILLE,FL - WINN DIXIE",2.695652,2254,1
"JACKSONVILLE,FL - FOOD LION",2.702723,1322,1
"LOUISVILLE - KROGER CO",2.696629,2403,1
"LOUISVILLE - WINN DIXIE",2.599623,2123,1
"RICHMOND/NORFOLK - FOOD LION",2.842356,5874,0
"RICHMOND/NORFOLK - NEW FARM FRESH",2.547913,2588,0
"COLUMBUS,OH - BIG BEAR",3.338772,1287,0
"COLUMBUS,OH - KROGER CO",2.653341,3352,1
"LITTLE ROCK - HARVEST FOODS",2.901543,1879,1
"WICHITA - DILLON COMPANIES",3.052364,1375,0
"SOUTH CAROLINA - BI LO",2.333434,6628,1
"SOUTH CAROLINA - FOOD LION",2.6253,3328,0
"SOUTH CAROLINA - WINN DIXIE",2.386514,3930,0
"ORLANDO,FL - PUBLIX",2.997429,3890,0
"ORLANDO,FL - WINN DIXIE",2.40195,3488,0
"ORLANDO,FL - FOOD LION",2.557766,1307,0
"SYRACUSE - P & C FOOD MARKE",2.653333,1350,0
"SYRACUSE - PRICE CHOPPER",2.870206,678,1
"SYRACUSE - WEGMANS",3.451202,707,1
"NEW ENGLAND (NORTH) - SHOP N SAVE",2.387004,3478,0
"SAN ANT/CORPUS CHR - H E BUTT",3.186565,13904,1
"BIRMINGHAM/MONTGOM - BRUNOS",2.13583,12950,1
"BIRMINGHAM/MONTGOM - KROGER",2.654061,1613,1
"BIRMINGHAM/MONTGOM - WINN DIXIE",2.56981,4061,1
"HARRISBURG/SCRANTN - GIANT FOOD STO",2.560023,1766,1
"NEW YORK (NEW) - A & P",2.699745,8636,0
"NEW YORK (NEW) - PATHMARK",4.386679,3243,0
"NEW YORK (NEW) - WALDBAUMS",4.478481,790,0
"ROANOKE (NEW) - FOOD LION",2.775024,3187,0
"ROANOKE (NEW) - KROGER CO",2.722513,4011,0
"LOS ANGELES - LUCKY",2.585746,18170,1
"LOS ANGELES - RALPHS",3.719602,5025,1
"LOS ANGELES - VONS",2.769774,9495,1
"CHICAGO - DOMINICK",2.652181,5937,1
"CHICAGO - JEWEL",1.986676,47658,1
"CHICAGO - OMNI",2.38692,2737,0
"HOUSTON - KROGER CO",2.461662,6847,1
"HOUSTON - RANDALLS",2.817859,4222,0
"PITTSBURGH - GIANT EAGLE",2.520098,5697,1
"DETROIT - FARMER JACKS",3.12697,5647,1
"DETROIT - KROGER CO",2.746633,4010,0
"CLEVELAND - STOP N SHOP",2.73194,5551,1
"ST. LOUIS - NATIONAL SUPER",3.586633,2349,1
"ST. LOUIS - SCHNUCK MARKETS",3.30159,5471,1
"DALLAS/FT. WORTH - ALBERTSONS",3.453598,2974,0
"DALLAS/FT. WORTH - KROGER CO",2.919505,3230,0
"DALLAS/FT. WORTH - TOM THUMB",2.666495,3880,0
"BOSTON - SHAWS",2.386402,2368,0
"BOSTON - STAR MARKET",3.111317,539,0
"BOSTON - STOP & SHOP",2.559195,2137,0
"SAN FRANCISCO - LUCKY",3.442763,6211,1
"TAMPA/ST. PETE - KASH N KARRY",2.910731,3215,0
"TAMPA/ST. PETE - PUBLIX",3.013033,4220,0
"TAMPA/ST. PETE - WINN DIXIE",2.879851,3221,0
"DENVER - KING SOOPERS INC",3.605471,3034,0
"PHILADELPHIA - ACME MARKET",3.62069,2639,1
"ATLANTA - KROGER CO",2.968394,4651,0
"ATLANTA - WINN DIXIE",2.639429,1750,0
"CINCINNATI - KROGER CO",2.653506,5091,0
"INDIANAPOLIS - KROGER CO",2.662883,3524,1
"OKLAHOMA CITY - HOMELAND",2.844957,1993,1
"SACRAMENTO - RALEYS",3.777266,1302,1
"SAN DIEGO - LUCKY",2.698237,7602,1
"SAN DIEGO - RALPHS",3.719159,1759,1
"SALT LAKE CITY - SMITHS FOOD",2.654054,1295,1
"PHOENIX - SAFEWAY",3.320261,1224,0
"PHOENIX - FRY'S FOOD STORE",2.653546,5132,0
"PHOENIX - SMITHS FOOD",3.18561,959,0
"MIAMI - PUBLIX",2.726992,8736,1
"MIAMI - WINN DIXIE",2.534996,7058,1
"NASHVILLE - KROGER CO",2.832718,2439,1
"RALEIGH/GREENSBORO - WINN DIXIE",2.569811,2120,1
"RALEIGH/GREENSBORO - FOOD LION",2.668179,5289,1
"ALBANY,NY - PRICE CHOPPER",3.053237,695,0
"BALTI/WASH - GIANT FOOD INC",3.789134,4031,0
"BALTI/WASH - SAFEWAY",3.319803,5272,0
"BALTI/WASH - SUPER FRESH",3.449208,1516,0
"MILWAUKEE - KOHLS FOOD STORE",3.074939,1628,0
"NEW ORLEANS - WINN DIXIE",2.355576,5515,0
"BUFFALO/ROCHESTER - TOPS MARKETS",3.242211,1990,0
"BUFFALO/ROCHESTER - WEGMANS",3.263813,2009,1
"CHARLOTTE - BI LO",2.333333,1233,0
"CHARLOTTE - HARRIS TEETER",2.703855,1712,0
"CHARLOTTE - WINN DIXIE",2.333019,2120,1
"CHARLOTTE - FOOD LION",2.655543,4555,1
"HARTFORD - STOP & SHOP",3.379514,1357,0
"JACKSONVILLE,FL - PUBLIX",2.996906,1293,0
"JACKSONVILLE,FL - WINN DIXIE",2.700568,2114,0
"JACKSONVILLE,FL - FOOD LION",2.6169,1574,1
"LOUISVILLE - KROGER CO",2.675509,3242,1
"LOUISVILLE - WINN DIXIE",2.600608,1645,1
"RICHMOND/NORFOLK - FOOD LION",2.790068,5578,0
"RICHMOND/NORFOLK - NEW FARM FRESH",2.536232,2346,0
"COLUMBUS,OH - BIG BEAR",3.320432,1111,0
"COLUMBUS,OH - KROGER CO",1.71998,11942,1
"LITTLE ROCK - HARVEST FOODS",2.970941,1583,1
"WICHITA - DILLON COMPANIES",3.134249,1311,0
"SOUTH CAROLINA - BI LO",2.333387,6176,1
"SOUTH CAROLINA - FOOD LION",2.614191,2255,0
"SOUTH CAROLINA - WINN DIXIE",2.386612,2196,0
"ORLANDO,FL - PUBLIX",3.029271,3553,0
"ORLANDO,FL - WINN DIXIE",2.404993,3605,0
"ORLANDO,FL - FOOD LION",2.596931,1238,1
"SYRACUSE - P & C FOOD MARKE",3.298932,562,0
"SYRACUSE - PRICE CHOPPER",2.871308,474,1
"SYRACUSE - WEGMANS",3.472546,601,1
"NEW ENGLAND (NORTH) - SHOP N SAVE",2.386263,2941,0
"SAN ANT/CORPUS CHR - H E BUTT",3.186752,10613,1
"BIRMINGHAM/MONTGOM - BRUNOS",2.131949,12952,1
"BIRMINGHAM/MONTGOM - KROGER",2.652778,1728,1
"BIRMINGHAM/MONTGOM - WINN DIXIE",2.695761,2807,1
"HARRISBURG/SCRANTN - GIANT FOOD STO",2.573913,1495,1
"NEW YORK (NEW) - A & P",4.399547,3529,0
"NEW YORK (NEW) - PATHMARK",4.387281,2626,0
"NEW YORK (NEW) - WALDBAUMS",4.499683,1577,0
"ROANOKE (NEW) - FOOD LION",2.720946,2874,0
"ROANOKE (NEW) - KROGER CO",2.700876,4336,1
"LOS ANGELES - LUCKY",2.602414,15740,1
"LOS ANGELES - RALPHS",3.72003,6665,1
"LOS ANGELES - VONS",3.742301,8021,1
"CHICAGO - DOMINICK",3.293924,5151,1
"CHICAGO - JEWEL",3.230946,13934,0
"CHICAGO - OMNI",2.737109,3161,0
"HOUSTON - KROGER CO",2.44432,8010,1
"HOUSTON - RANDALLS",3.679324,3608,0
"PITTSBURGH - GIANT EAGLE",2.519856,4432,1
"DETROIT - FARMER JACKS",3.180474,4599,1
"DETROIT - KROGER CO",2.745247,3945,0
"CLEVELAND - STOP N SHOP",3.026392,3789,1
"ST. LOUIS - NATIONAL SUPER",3.681186,1653,1
"ST. LOUIS - SCHNUCK MARKETS",3.043433,3822,1
"DALLAS/FT. WORTH - ALBERTSONS",3.186873,3489,0
"DALLAS/FT. WORTH - KROGER CO",2.919857,3082,0
"DALLAS/FT. WORTH - TOM THUMB",3.053065,3524,1
"BOSTON - SHAWS",2.386555,3094,0
"BOSTON - STAR MARKET",3.09389,671,0
"BOSTON - STOP & SHOP",2.576843,1926,0
"SAN FRANCISCO - LUCKY",3.412871,5532,1
"TAMPA/ST. PETE - KASH N KARRY",3.060476,3489,0
"TAMPA/ST. PETE - PUBLIX",2.991971,4484,1
"TAMPA/ST. PETE - WINN DIXIE",2.778738,4976,0
"DENVER - KING SOOPERS INC",3.510022,3692,0
"PHILADELPHIA - ACME MARKET",2.386825,8319,1
"ATLANTA - KROGER CO",2.944254,4090,1
"ATLANTA - WINN DIXIE",2.639545,2286,1
"CINCINNATI - KROGER CO",2.653201,5545,0
"INDIANAPOLIS - KROGER CO",2.678508,3378,1
"OKLAHOMA CITY - HOMELAND",2.767209,1598,1
"SACRAMENTO - RALEYS",3.82334,1551,1
"SAN DIEGO - LUCKY",2.712426,6221,1
"SAN DIEGO - RALPHS",3.720362,2210,1
"SALT LAKE CITY - SMITHS FOOD",3.987179,858,1
"PHOENIX - SAFEWAY",3.587045,988,0
"PHOENIX - FRY'S FOOD STORE",3.585942,1949,0
"PHOENIX - SMITHS FOOD",3.185646,1045,0
"MIAMI - PUBLIX",2.730249,10354,1
"MIAMI - WINN DIXIE",2.538376,9003,0
"NASHVILLE - KROGER CO",2.807708,2413,1
"RALEIGH/GREENSBORO - WINN DIXIE",2.528085,2350,1
"RALEIGH/GREENSBORO - FOOD LION",2.687199,5195,1
"ALBANY,NY - PRICE CHOPPER",3.049924,661,0
"BALTI/WASH - GIANT FOOD INC",3.749596,4337,0
"BALTI/WASH - SAFEWAY",4.119779,3807,0
"BALTI/WASH - SUPER FRESH",3.823017,1034,0
"MILWAUKEE - KOHLS FOOD STORE",2.639565,2300,0
"NEW ORLEANS - WINN DIXIE",2.425944,5111,0
"BUFFALO/ROCHESTER - TOPS MARKETS",1.706641,40009,1
"BUFFALO/ROCHESTER - WEGMANS",3.275862,2262,1
"CHARLOTTE - BI LO",2.333122,1576,0
"CHARLOTTE - HARRIS TEETER",2.711846,1815,0
"CHARLOTTE - WINN DIXIE",2.334096,2185,0
"CHARLOTTE - FOOD LION",2.683267,4297,1
"HARTFORD - STOP & SHOP",3.362709,1373,0
"JACKSONVILLE,FL - PUBLIX",3.035496,1634,0
"JACKSONVILLE,FL - WINN DIXIE",2.699585,2410,0
"JACKSONVILLE,FL - FOOD LION",2.708108,1110,1
"LOUISVILLE - KROGER CO",2.680449,3120,1
"LOUISVILLE - WINN DIXIE",2.600387,2067,1
"RICHMOND/NORFOLK - FOOD LION",2.775194,6321,1
"RICHMOND/NORFOLK - NEW FARM FRESH",2.528416,2481,0
"COLUMBUS,OH - BIG BEAR",2.029701,5185,1
"COLUMBUS,OH - KROGER CO",2.653106,4572,1
"LITTLE ROCK - HARVEST FOODS",2.979804,1634,1
"WICHITA - DILLON COMPANIES",3.134061,1283,0
"SOUTH CAROLINA - BI LO",2.333241,7223,1
"SOUTH CAROLINA - FOOD LION",2.591077,3519,0
"SOUTH CAROLINA - WINN DIXIE",2.3866,2985,0
"ORLANDO,FL - PUBLIX",2.980721,4357,0
"ORLANDO,FL - WINN DIXIE",2.391558,4620,0
"ORLANDO,FL - FOOD LION",2.658745,1052,1
"SYRACUSE - P & C FOOD MARKE",2.520619,1746,0
"SYRACUSE - PRICE CHOPPER",2.82846,513,0
"SYRACUSE - WEGMANS",3.472561,656,1
"NEW ENGLAND (NORTH) - SHOP N SAVE",2.387031,3408,0
"SAN ANT/CORPUS CHR - H E BUTT",3.186624,14907,1
"BIRMINGHAM/MONTGOM - BRUNOS",2.150139,10417,1
"BIRMINGHAM/MONTGOM - KROGER",2.653249,1416,1
"BIRMINGHAM/MONTGOM - WINN DIXIE",2.679033,4097,1
"HARRISBURG/SCRANTN - GIANT FOOD STO",3.122278,1194,1
"NEW YORK (NEW) - A & P",4.395692,3528,0
"NEW YORK (NEW) - PATHMARK",4.386524,3829,1
"NEW YORK (NEW) - WALDBAUMS",4.463889,1800,0
"ROANOKE (NEW) - FOOD LION",2.732443,2919,1
"ROANOKE (NEW) - KROGER CO",2.769869,3737,1
"LOS ANGELES - LUCKY",3.132038,12042,1
"LOS ANGELES - RALPHS",3.053438,10311,1
"LOS ANGELES - VONS",3.235709,11213,1
"CHICAGO - DOMINICK",3.290896,5734,1
"CHICAGO - JEWEL",1.986648,48983,1
"CHICAGO - OMNI",2.736771,2948,0
"HOUSTON - KROGER CO",2.442829,13066,1
"HOUSTON - RANDALLS",2.813648,6917,0
"PITTSBURGH - GIANT EAGLE",3.235311,3455,0
"DETROIT - FARMER JACKS",3.216509,6554,1
"DETROIT - KROGER CO",2.811295,3630,0
"CLEVELAND - STOP N SHOP",2.947305,4156,0
"ST. LOUIS - NATIONAL SUPER",3.725996,2208,0
"ST. LOUIS - SCHNUCK MARKETS",2.439095,7602,1
"DALLAS/FT. WORTH - ALBERTSONS",3.18629,3720,0
"DALLAS/FT. WORTH - KROGER CO",3.728585,3047,0
"DALLAS/FT. WORTH - TOM THUMB",3.053694,2775,1
"BOSTON - SHAWS",2.468769,3234,0
"BOSTON - STAR MARKET",3.117904,916,0
"BOSTON - STOP & SHOP",2.605611,1889,0
"SAN FRANCISCO - LUCKY",3.408626,6654,1
"TAMPA/ST. PETE - KASH N KARRY",3.068437,4179,0
"TAMPA/ST. PETE - PUBLIX",3.028007,4249,0
"TAMPA/ST. PETE - WINN DIXIE",2.708525,5009,1
"DENVER - KING SOOPERS INC",3.761046,3327,0
"PHILADELPHIA - ACME MARKET",3.682356,3633,1
"ATLANTA - KROGER CO",2.379148,8076,1
"ATLANTA - WINN DIXIE",2.640203,2368,1
"CINCINNATI - KROGER CO",2.653282,6201,0
"INDIANAPOLIS - KROGER CO",2.66306,3882,1
"OKLAHOMA CITY - HOMELAND",2.519754,2278,1
"SACRAMENTO - RALEYS",3.839973,1506,1
"SAN DIEGO - LUCKY",3.646992,3507,1
"SAN DIEGO - RALPHS",3.052922,2721,1
"SALT LAKE CITY - SMITHS FOOD",3.974684,711,1
"PHOENIX - SAFEWAY",3.586889,961,0
"PHOENIX - FRY'S FOOD STORE",3.719585,1833,0
"PHOENIX - SMITHS FOOD",3.637959,1254,0
"MIAMI - PUBLIX",2.746041,10104,1
"MIAMI - WINN DIXIE",2.542857,8750,0
"NASHVILLE - KROGER CO",2.828826,2810,1
"RALEIGH/GREENSBORO - WINN DIXIE",2.529081,2132,1
"RALEIGH/GREENSBORO - FOOD LION",2.683868,5678,1
"ALBANY,NY - PRICE CHOPPER",3.051965,789,0
"BALTI/WASH - GIANT FOOD INC",3.788145,4673,0
"BALTI/WASH - SAFEWAY",4.120643,3357,0
"BALTI/WASH - SUPER FRESH",3.794425,1435,0
"MILWAUKEE - KOHLS FOOD STORE",3.067383,2048,0
"NEW ORLEANS - WINN DIXIE",2.388929,5528,0
"BUFFALO/ROCHESTER - TOPS MARKETS",3.278227,3587,1
"BUFFALO/ROCHESTER - WEGMANS",3.285317,2874,1
"CHARLOTTE - BI LO",2.333333,1464,0
"CHARLOTTE - HARRIS TEETER",2.708434,1660,0
"CHARLOTTE - WINN DIXIE",2.333014,2090,0
"CHARLOTTE - FOOD LION",2.696636,4905,0
"HARTFORD - STOP & SHOP",3.373737,1683,0
"JACKSONVILLE,FL - PUBLIX",3.016653,1261,0
"JACKSONVILLE,FL - WINN DIXIE",2.61782,3064,0
"JACKSONVILLE,FL - FOOD LION",2.713306,1458,1
"LOUISVILLE - KROGER CO",2.690869,3154,1
"LOUISVILLE - WINN DIXIE",2.600355,1689,1
"RICHMOND/NORFOLK - FOOD LION",2.809407,6548,1
"RICHMOND/NORFOLK - NEW FARM FRESH",2.546832,2904,0
"COLUMBUS,OH - BIG BEAR",2.051127,6122,1
"COLUMBUS,OH - KROGER CO",1.999926,13588,1
"LITTLE ROCK - HARVEST FOODS",2.825634,1537,1
"WICHITA - DILLON COMPANIES",3.149296,1065,0
"SOUTH CAROLINA - BI LO",2.333333,6840,1
"SOUTH CAROLINA - FOOD LION",2.638685,3133,0
"SOUTH CAROLINA - WINN DIXIE",2.388592,561,0
"ORLANDO,FL - PUBLIX",3.019943,4212,1
"ORLANDO,FL - WINN DIXIE",2.493327,4271,1
"ORLANDO,FL - FOOD LION",2.681072,1157,1
"SYRACUSE - P & C FOOD MARKE",3.372255,1002,0
"SYRACUSE - PRICE CHOPPER",2.949264,611,0
"SYRACUSE - WEGMANS",3.472946,998,1
"NEW ENGLAND (NORTH) - SHOP N SAVE",2.386746,3682,0
"SAN ANT/CORPUS CHR - H E BUTT",3.959983,14344,1
"BIRMINGHAM/MONTGOM - BRUNOS",2.181795,11799,1
"BIRMINGHAM/MONTGOM - KROGER",2.653276,1618,0
"BIRMINGHAM/MONTGOM - WINN DIXIE",2.344082,4807,1
"HARRISBURG/SCRANTN - GIANT FOOD STO",2.653846,1768,1
"NEW YORK (NEW) - A & P",4.399946,3738,0
"NEW YORK (NEW) - PATHMARK",2.653358,53773,1
"NEW YORK (NEW) - WALDBAUMS",4.521242,2801,0
"ROANOKE (NEW) - FOOD LION",2.772601,3949,1
"ROANOKE (NEW) - KROGER CO",2.894879,4433,1
"LOS ANGELES - LUCKY",2.618337,11932,1
"LOS ANGELES - RALPHS",3.719385,8125,1
"LOS ANGELES - VONS",3.278703,10330,0
"CHICAGO - DOMINICK",3.293942,5695,0
"CHICAGO - JEWEL",3.038049,42550,1
"CHICAGO - OMNI",2.624207,3627,0
"HOUSTON - KROGER CO",2.436324,10467,1
"HOUSTON - RANDALLS",2.621634,2154,0
"PITTSBURGH - GIANT EAGLE",2.212063,7229,1
"DETROIT - FARMER JACKS",3.195477,3847,0
"DETROIT - KROGER CO",2.749202,4386,0
"CLEVELAND - STOP N SHOP",2.97616,3901,0
"ST. LOUIS - NATIONAL SUPER",3.721136,2148,0
"ST. LOUIS - SCHNUCK MARKETS",2.400228,7888,1
"DALLAS/FT. WORTH - ALBERTSONS",3.186591,3505,0
"DALLAS/FT. WORTH - KROGER CO",3.733482,2240,1
"DALLAS/FT. WORTH - TOM THUMB",2.95189,3492,0
"BOSTON - SHAWS",2.471433,3553,0
"BOSTON - STAR MARKET",3.120146,824,0
"BOSTON - STOP & SHOP",2.600321,2492,0
"SAN FRANCISCO - LUCKY",3.421142,7095,1
"TAMPA/ST. PETE - KASH N KARRY",2.940648,4229,0
"TAMPA/ST. PETE - PUBLIX",2.897972,4881,0
"TAMPA/ST. PETE - WINN DIXIE",2.549924,5248,1
"DENVER - KING SOOPERS INC",3.524693,4313,0
"PHILADELPHIA - ACME MARKET",3.652698,3484,1
"ATLANTA - KROGER CO",2.408894,9017,1
"ATLANTA - WINN DIXIE",2.640581,2824,1
"CINCINNATI - KROGER CO",2.894338,5546,0
"INDIANAPOLIS - KROGER CO",2.653398,3517,1
"OKLAHOMA CITY - HOMELAND",2.477072,2486,1
"SACRAMENTO - RALEYS",3.853317,1643,1
"SAN DIEGO - LUCKY",2.743046,3775,1
"SAN DIEGO - RALPHS",3.71617,2047,1
"SALT LAKE CITY - SMITHS FOOD",3.604534,794,1
"PHOENIX - SAFEWAY",2.652394,1775,1
"PHOENIX - FRY'S FOOD STORE",3.720917,1702,0
"PHOENIX - SMITHS FOOD",3.71831,1278,1
"MIAMI - PUBLIX",2.578058,10883,1
"MIAMI - WINN DIXIE",2.525621,8938,0
"NASHVILLE - KROGER CO",2.11985,4272,1
"RALEIGH/GREENSBORO - WINN DIXIE",2.490246,3127,1
"RALEIGH/GREENSBORO - FOOD LION",2.59712,6111,1
"ALBANY,NY - PRICE CHOPPER",3.052997,1585,0
"BALTI/WASH - GIANT FOOD INC",3.797811,4842,0
"BALTI/WASH - SAFEWAY",4.119198,2693,0
"BALTI/WASH - SUPER FRESH",3.815374,1392,0
"MILWAUKEE - KOHLS FOOD STORE",3.071477,1469,0
"NEW ORLEANS - WINN DIXIE",2.376062,5180,0
"BUFFALO/ROCHESTER - TOPS MARKETS",3.243229,1920,1
"BUFFALO/ROCHESTER - WEGMANS",2.678604,12063,1
"CHARLOTTE - BI LO",2.333144,1765,0
"CHARLOTTE - HARRIS TEETER",2.716174,1589,0
"CHARLOTTE - WINN DIXIE",2.33242,2921,0
"CHARLOTTE - FOOD LION",2.603766,5257,1
"HARTFORD - STOP & SHOP",3.393557,1583,0
"JACKSONVILLE,FL - PUBLIX",2.876721,1525,1
"JACKSONVILLE,FL - WINN DIXIE",2.531659,2827,0
"JACKSONVILLE,FL - FOOD LION",2.697631,1604,1
"LOUISVILLE - KROGER CO",2.681575,3734,1
"LOUISVILLE - WINN DIXIE",2.600247,1621,1
"RICHMOND/NORFOLK - FOOD LION",2.749498,6479,1
"RICHMOND/NORFOLK - NEW FARM FRESH",2.54023,2784,0
"COLUMBUS,OH - BIG BEAR",3.217284,1620,1
"COLUMBUS,OH - KROGER CO",2.652824,5153,1
"LITTLE ROCK - HARVEST FOODS",2.637883,2872,0
"WICHITA - DILLON COMPANIES",2.9271,1262,0
"SOUTH CAROLINA - BI LO",2.33338,7217,1
"SOUTH CAROLINA - FOOD LION",2.592602,3920,1
"SOUTH CAROLINA - WINN DIXIE",2.386638,2814,0
"ORLANDO,FL - PUBLIX",2.923769,4670,1
"ORLANDO,FL - WINN DIXIE",2.631397,4338,0
"ORLANDO,FL - FOOD LION",2.659152,1109,1
"SYRACUSE - P & C FOOD MARKE",3.3125,688,0
"SYRACUSE - PRICE CHOPPER",3.098361,1220,0
"SYRACUSE - WEGMANS",2.663705,5177,1
"NEW ENGLAND (NORTH) - SHOP N SAVE",1.989016,4825,0
"SAN ANT/CORPUS CHR - H E BUTT",3.955018,11738,1
"BIRMINGHAM/MONTGOM - BRUNOS",2.148622,12663,1
"BIRMINGHAM/MONTGOM - KROGER",2.163078,2183,0
"BIRMINGHAM/MONTGOM - WINN DIXIE",2.308057,4853,1
"HARRISBURG/SCRANTN - GIANT FOOD STO",2.652951,1847,1
"NEW YORK (NEW) - A & P",4.400915,3936,0
"NEW YORK (NEW) - PATHMARK",4.355767,5037,1
"NEW YORK (NEW) - WALDBAUMS",4.472222,1800,0
"ROANOKE (NEW) - FOOD LION",2.762878,3475,1
"ROANOKE (NEW) - KROGER CO",2.453993,5923,0
"LOS ANGELES - LUCKY",3.474007,11561,1
"LOS ANGELES - RALPHS",2.653371,15394,1
"LOS ANGELES - VONS",3.2558,9828,0
"CHICAGO - DOMINICK",1.320008,103763,1
"CHICAGO - JEWEL",3.032956,20482,1
"CHICAGO - OMNI",2.239951,14803,1
"HOUSTON - KROGER CO",2.382119,8937,1
"HOUSTON - RANDALLS",3.237387,3092,0
"PITTSBURGH - GIANT EAGLE",2.211608,5548,0
"DETROIT - FARMER JACKS",3.329126,3090,0
"DETROIT - KROGER CO",2.686707,4574,0
"CLEVELAND - STOP N SHOP",2.792503,4535,1
"ST. LOUIS - NATIONAL SUPER",3.715412,2284,0
"ST. LOUIS - SCHNUCK MARKETS",2.389138,9796,1
"DALLAS/FT. WORTH - ALBERTSONS",3.186692,3171,0
"DALLAS/FT. WORTH - KROGER CO",3.729842,2158,0
"DALLAS/FT. WORTH - TOM THUMB",2.666901,2846,0
"BOSTON - SHAWS",2.386771,3069,0
"BOSTON - STAR MARKET",3.118076,686,0
"BOSTON - STOP & SHOP",2.582294,2485,0
"SAN FRANCISCO - LUCKY",3.577867,6479,1
"TAMPA/ST. PETE - KASH N KARRY",2.873151,3516,0
"TAMPA/ST. PETE - PUBLIX",2.642293,4431,1
"TAMPA/ST. PETE - WINN DIXIE",2.449449,6083,1
"DENVER - KING SOOPERS INC",3.777428,3181,0
"PHILADELPHIA - ACME MARKET",2.653258,12107,1
"ATLANTA - KROGER CO",2.344613,8984,1
"ATLANTA - WINN DIXIE",2.640017,2389,1
"CINCINNATI - KROGER CO",2.902458,5167,0
"INDIANAPOLIS - KROGER CO",2.653721,3991,1
"OKLAHOMA CITY - HOMELAND",2.398148,2592,1
"SACRAMENTO - RALEYS",3.852404,1477,1
"SAN DIEGO - LUCKY",3.60033,3030,1
"SAN DIEGO - RALPHS",2.653463,4721,1
"SALT LAKE CITY - SMITHS FOOD",2.498328,1196,1
"PHOENIX - SAFEWAY",2.652985,1876,1
"PHOENIX - FRY'S FOOD STORE",2.653484,3717,0
"PHOENIX - SMITHS FOOD",2.830176,3009,1
"MIAMI - PUBLIX",2.543692,10986,1
"MIAMI - WINN DIXIE",2.544881,8712,0
"NASHVILLE - KROGER CO",2.120094,5121,1
"RALEIGH/GREENSBORO - WINN DIXIE",2.503826,2614,1
"RALEIGH/GREENSBORO - FOOD LION",2.507412,6476,1
"ALBANY,NY - PRICE CHOPPER",3.049759,623,1
