CS_PropertyID,rev_psf,Rent,leasing_rate,size,City_Market_Rent,stories,age,renovated,class,green_rating,LEED,amenities,Utility_Costs,class_a,class_b
122010,5.27384,28.6,18.44,7050,34.32,3,101,0,C,0,0,0,0.809839898,0,0
320647,28.4838,29,98.22,116300,33.84,21,109,1,B,0,0,0,0.809839898,0,1
323202,28.300486,29.23,96.82,24250,34.07,4,100,1,B,0,0,0,0.809839898,0,1
320719,23.510015,29.93,78.55,430523,33.95,25,52,1,B,0,0,1,0.809839898,0,1
44637,28.656,30,95.52,572041,33.92,22,85,0,B,0,0,0,0.809839898,0,1
89098,20.655,30,68.85,15832,33.96,6,99,1,B,0,0,0,0.809839898,0,1
320608,7.206,30,24.02,25600,33.77,7,100,0,C,0,0,0,0.809839898,0,0
36158,27.135595,30.37,89.35,128838,34.01,14,94,1,B,0,0,0,0.809839898,0,1
320640,30.0303,30.5,98.46,99465,33.93,21,85,0,B,0,0,0,0.809839898,0,1
320847,26.99865,31.5,85.71,19600,34.04,6,82,1,C,0,0,0,0.809839898,0,0
320439,29.49478,31.99,92.2,106000,33.97,11,94,1,B,0,0,0,0.809839898,0,1
320811,30.7712,32,96.16,103000,34.14,7,99,1,B,0,0,0,0.809839898,0,1
320756,32.6568,33,98.96,65000,33.72,8,93,0,C,0,0,0,0.809839898,0,0
321423,33,33,100,19000,34.05,5,100,0,C,0,0,0,0.809839898,0,0
320607,31.8036,34,93.54,32800,34.15,8,99,1,B,0,0,0,0.809839898,0,1
320434,32.713678,34.18,95.71,711000,33.74,48,21,0,A,0,0,0,0.809839898,1,0
320432,30.5187,34.5,88.46,89927,34.37,11,85,1,B,0,0,0,0.809839898,0,1
320723,31.3023,34.55,90.6,434569,34.21,22,115,1,B,0,0,0,0.809839898,0,1
323237,34.75,34.75,100,39900,33.96,7,100,1,B,0,0,0,0.809839898,0,1
43473,35,35,100,15150,34.1,6,100,1,B,0,0,0,0.809839898,0,1
320845,27.755,35,79.3,51086,34.15,16,81,1,B,0,0,0,0.809839898,0,1
320877,29.6975,35,84.85,33000,33.93,6,100,0,B,0,0,0,0.809839898,0,1
320799,23.234568,35.14,66.12,18021,33.84,7,79,1,C,0,0,0,0.809839898,0,0
320441,34.5664,35.2,98.2,265363,33.95,16,104,0,B,0,0,0,0.809839898,0,1
321023,31.4885,35.5,88.7,37544,34.19,10,97,0,B,0,0,0,0.809839898,0,1
320428,34.463104,36.14,95.36,51051,34.34,6,93,1,B,0,0,0,0.809839898,0,1
320643,37.5,37.5,100,71345,33.8,15,100,1,B,0,0,1,0.809839898,0,1
320426,33.5844,38,88.38,240546,33.92,17,27,0,A,0,0,1,0.809839898,1,0
320630,31.578,38,83.1,623352,33.87,38,28,0,A,0,0,1,0.809839898,1,0
320600,38.5164,39,98.76,228470,34.01,22,21,0,A,0,0,1,0.809839898,1,0
87648,16.449048,39.56,41.58,180000,34.02,14,99,1,B,0,0,0,0.809839898,0,1
115915,13.114,41.5,31.6,79280,33.69,7,98,1,B,0,0,0,0.809839898,0,1
320637,34.78115,41.5,83.81,486711,33.96,42,32,0,A,0,0,0,0.809839898,1,0
320431,42,42,100,51376,33.92,11,99,1,B,0,0,1,0.809839898,0,1
320405,43,43,100,303645,34.12,18,48,1,A,0,0,1,0.809839898,1,0
320628,41.364,45,91.92,220000,33.69,26,21,0,A,0,0,1,0.809839898,1,0
320923,45,45,100,108691,33.98,9,103,1,B,0,0,0,0.809839898,0,1
320641,45.95,45.95,100,428420,33.87,30,29,0,A,0,0,1,0.809839898,1,0
320721,47.873175,50.25,95.27,56000,34.12,16,86,1,B,0,0,0,0.809839898,0,1
36160,55,55,100,43956,33.82,10,101,1,B,0,0,0,0.809839898,0,1
89257,50.3285,85,59.21,186072,34.17,10,101,1,B,0,0,1,0.809839898,0,1
320443,94.54842,99.42,95.1,1708748,34.21,52,38,0,A,0,0,1,0.809839898,1,0
144535,7.11705,12.75,55.82,80228,23.22,11,84,1,B,1,1,1,-0.888879223,0,1
144515,12.291175,14.75,83.33,136800,23.51,13,84,0,C,0,0,1,-0.889106707,0,0
1588,13.962,15,93.08,39761,23,13,83,1,C,0,0,0,-0.889106707,0,0
144402,15.314628,16.23,94.36,625696,23.24,23,97,1,B,0,0,1,-0.889106707,0,1
144297,15.275133,16.29,93.77,1601744,22.95,48,34,1,A,0,0,1,-0.889106707,1,0
144337,13.308218,16.78,79.31,733633,23.24,37,21,0,A,0,0,1,-0.889106707,1,0
144318,12.582828,17.37,72.44,803046,23.44,40,26,1,A,0,0,1,-0.889106707,1,0
1586,15.582168,18.06,86.28,401000,22.96,19,93,1,C,0,0,0,-0.889106707,0,0
144411,17.3565,19,91.35,78100,23.11,22,94,1,B,0,0,0,-0.889106707,0,1
144491,18.1374,19,95.46,173612,23.04,14,104,1,C,0,0,1,-0.889106707,0,0
144492,16.701,19,87.9,111323,22.71,14,78,1,C,0,0,1,-0.889106707,0,0
144523,18.2438,19,96.02,281325,23.18,12,119,1,A,0,0,1,-0.889106707,1,0
144410,18.024286,19.13,94.22,130976,23.28,22,80,1,C,0,0,0,-0.889106707,0,0
144403,16.9884,19.5,87.12,125729,23.06,23,79,1,B,0,0,1,-0.889106707,0,1
1597,9.428,20,47.14,66600,22.76,6,107,1,C,0,0,1,-0.889106707,0,0
144294,18.492,20,92.46,1056408,22.9,50,15,0,A,0,0,1,-0.889106707,1,0
145034,4.47,20,22.35,13909,23.03,4,77,0,C,0,0,1,-0.889106707,0,0
144466,19.69845,20.5,96.09,159000,23.11,17,46,1,C,0,0,1,-0.889106707,0,0
144306,19.370055,20.53,94.35,988171,22.94,44,33,1,B,0,0,1,-0.889106707,0,1
144342,18.147789,20.91,86.79,591430,22.95,37,32,1,A,0,0,1,-0.889106707,1,0
1587,19.7413,21.5,91.82,243040,22.95,19,103,1,B,0,0,1,-0.889106707,0,1
123313,20.131111,21.97,91.63,940639,23.04,50,17,0,A,0,0,1,-0.889106707,1,0
144474,20.774556,22.11,93.96,158100,23.4,16,114,1,C,0,0,1,-0.889106707,0,0
144494,18.8145,22.5,83.62,219273,23.05,15,114,1,C,0,0,1,-0.889106707,0,0
144499,17.58416,22.66,77.6,197621,23.28,12,107,1,C,0,0,1,-0.889106707,0,0
144388,22.75,22.75,100,157409,23.55,25,80,1,B,0,0,1,-0.889106707,0,1
144425,22.296928,23.12,96.44,178000,23.15,21,84,1,B,0,0,1,-0.889106707,0,1
144331,22.408452,23.43,95.64,174000,23.18,38,78,1,C,0,0,1,-0.889106707,0,0
144286,23.3637,23.5,99.42,1904229,23.43,57,40,1,A,0,0,1,-0.889106707,1,0
144329,16.10925,23.5,68.55,798782,23.35,40,21,0,A,0,0,1,-0.889106707,1,0
144434,23.1072,24,96.28,420000,22.85,21,93,1,B,0,0,1,-0.889106707,0,1
144460,17.3568,24,72.32,884004,23.5,17,102,1,B,0,0,1,-0.889106707,0,1
576483,4.921135,24.35,20.21,43049,23.18,5,107,1,C,0,0,0,-0.889106707,0,0
148528,14.816585,24.47,60.55,896769,22.97,15,87,0,B,0,0,1,-0.889106707,0,1
144319,20.727,24.5,84.6,455813,23.09,41,80,1,B,0,0,1,-0.889106707,0,1
144445,18.76945,24.5,76.61,237070,22.92,19,50,0,B,0,0,1,-0.889106707,0,1
144420,16.8904,24.55,68.8,206000,23.01,22,81,0,C,0,0,1,-0.889106707,0,0
144347,22.938454,24.62,93.17,384510,23.47,36,27,0,B,0,0,1,-0.889106707,0,1
144472,13.115,25,52.46,640554,23.1,16,95,0,B,0,0,0,-0.889106707,0,1
144433,23.2104,25.45,91.2,285000,23.08,22,97,1,C,0,0,1,-0.889106707,0,0
144298,21.627378,25.51,84.78,486602,23.13,47,78,0,B,0,0,1,-0.889106707,0,1
354086,24.669915,26.45,93.27,1504364,23.3,37,4,0,A,0,0,0,-0.889106707,1,0
144322,24.248946,26.49,91.54,402010,22.81,38,76,1,A,0,0,0,-0.889106707,1,0
144429,25.303826,26.63,95.02,294000,23.37,21,93,1,C,0,0,1,-0.889106707,0,0
403900,23.549416,26.84,87.74,53642,23.01,4,7,0,A,0,0,1,-0.889106707,1,0
144371,24.5336,28,87.62,879000,23.41,28,26,1,A,0,0,1,-0.889106707,1,0
144361,24.266862,28.26,85.87,363657,23.37,30,37,0,B,0,0,1,-0.889106707,0,1
803427,12.007947,29.73,40.39,104518,23.05,57,2,0,A,0,0,0,-0.889106707,1,0
144348,16.180512,29.76,54.37,290000,22.95,35,91,1,B,0,0,1,-0.889106707,0,1
144426,36.877342,38.47,95.86,579778,23.1,22,93,1,B,0,0,1,-0.889106707,0,1
86260,30.076,40,75.19,259000,22.99,22,93,1,C,0,0,1,-0.889106707,0,0
144381,80,80,100,691410,23.47,26,29,1,B,0,0,1,-0.889106707,0,1
48101,21.53088,32.04,67.2,465363,33.13,27,19,0,A,1,0,1,0.808962754,1,0
320642,24,24,100,53577,33.09,14,90,1,B,0,0,0,0.809839898,0,1
320406,20.3475,25,81.39,233654,33.18,28,77,1,B,0,0,0,0.809839898,0,1
320573,20.8,26,80,22355,33.2,5,66,1,C,0,0,0,0.809839898,0,0
320577,22.4775,27,83.25,30000,32.87,5,100,1,B,0,0,0,0.809839898,0,1
320635,19.4454,27,72.02,64955,33.2,7,83,1,C,0,0,0,0.809839898,0,0
320876,27,27,100,30000,32.83,7,80,0,C,0,0,0,0.809839898,0,0
323202,28.300486,29.23,96.82,24250,33.32,4,100,1,B,0,0,0,0.809839898,0,1
44637,28.656,30,95.52,572041,32.95,22,85,0,B,0,0,0,0.809839898,0,1
89098,20.655,30,68.85,15832,33.1,6,99,1,B,0,0,0,0.809839898,0,1
402791,0,30,0,4000,33.02,3,99,0,C,0,0,0,0.809839898,0,0
36158,27.135595,30.37,89.35,128838,33.01,14,94,1,B,0,0,0,0.809839898,0,1
320640,30.0303,30.5,98.46,99465,33.04,21,85,0,B,0,0,0,0.809839898,0,1
321040,27.2832,32,85.26,57000,32.76,6,100,1,B,0,0,0,0.809839898,0,1
320756,32.6568,33,98.96,65000,33.22,8,93,0,C,0,0,0,0.809839898,0,0
321423,33,33,100,19000,32.9,5,100,0,C,0,0,0,0.809839898,0,0
323237,34.75,34.75,100,39900,33.12,7,100,1,B,0,0,0,0.809839898,0,1
43473,35,35,100,15150,32.87,6,100,1,B,0,0,0,0.809839898,0,1
320877,29.6975,35,84.85,33000,33.13,6,100,0,B,0,0,0,0.809839898,0,1
321023,31.4885,35.5,88.7,37544,33.04,10,97,0,B,0,0,0,0.809839898,0,1
320507,35.3628,36,98.23,373470,33.05,8,79,1,A,0,0,0,0.809839898,1,0
320643,37.5,37.5,100,71345,32.95,15,100,1,B,0,0,1,0.809839898,0,1
320426,33.5844,38,88.38,240546,33.05,17,27,0,A,0,0,1,0.809839898,1,0
320630,31.578,38,83.1,623352,32.83,38,28,0,A,0,0,1,0.809839898,1,0
87648,16.449048,39.56,41.58,180000,33.04,14,99,1,B,0,0,0,0.809839898,0,1
320637,34.78115,41.5,83.81,486711,33.13,42,32,0,A,0,0,0,0.809839898,1,0
320405,43,43,100,303645,33.18,18,48,1,A,0,0,1,0.809839898,1,0
320618,28.851108,43.01,67.08,249918,32.65,22,17,0,A,0,0,0,0.809839898,1,0
320628,41.364,45,91.92,220000,33.23,26,21,0,A,0,0,1,0.809839898,1,0
320641,45.95,45.95,100,428420,33.16,30,29,0,A,0,0,1,0.809839898,1,0
171708,16.938261,19.79,85.59,90045,20.81,3,20,0,A,1,0,0,0.394789478,1,0
171706,20.795418,21.86,95.13,177820,20.92,3,18,0,A,0,0,1,0.389765043,1,0
171707,13.5234,22,61.47,146448,21.01,3,21,0,A,0,0,0,0.389765043,1,0
246750,25.69758,31.8,80.81,490803,29.92,20,25,1,A,1,0,1,0.808962754,1,0
246774,14.97702,28.2,53.11,321800,29.83,15,35,0,A,0,0,1,0.809839898,1,0
479467,26,26,100,1117000,19.98,60,15,0,A,1,1,1,-1.133912171,1,0
479402,9.319,10,93.19,88993,19.77,5,79,1,B,0,0,0,-1.132425259,0,1
479433,10.5516,13.5,78.16,25184,19.22,2,57,1,B,0,0,0,-1.132425259,0,1
479420,12.61104,15.6,80.84,22400,19.72,7,82,1,C,0,0,0,-1.132425259,0,0
502638,14.6047,17,85.91,30520,19.71,3,77,1,B,0,0,0,-1.132425259,0,1
479416,18.71415,19.5,95.97,210426,19.72,17,45,1,A,0,0,0,-1.132425259,1,0
479418,15.5025,19.5,79.5,172385,19.52,17,83,1,B,0,0,1,-1.132425259,0,1
479452,17.787069,19.77,89.97,163742,19.82,16,50,0,B,0,0,1,-1.132425259,0,1
479413,21.8152,22,99.16,529817,19.8,20,24,1,A,0,0,1,-1.132425259,1,0
479473,21.3114,22,96.87,475043,19.62,23,21,1,A,0,0,1,-1.132425259,1,0
479447,21.849345,22.05,99.09,716000,19.78,30,36,0,B,0,0,1,-1.132425259,0,1
479436,27.5828,28,98.51,625026,19.62,27,26,1,A,0,0,1,-1.132425259,1,0
479410,18.585492,29.14,63.78,23294,19.73,2,93,1,C,0,0,1,-1.132425259,0,0
1029816,9.2543,11.75,78.76,413895,8.85,25,22,0,A,1,0,1,-1.210600186,1,0
1289797,3.5684,5.5,64.88,197000,9.18,8,27,0,B,0,0,1,-1.213779129,0,1
1029911,3.4092,6,56.82,38673,9.13,4,60,0,B,0,0,0,-1.213779129,0,1
1029479,5.0063,6.5,77.02,115452,8.88,9,25,1,B,0,0,0,-1.213779129,0,1
1029570,6.8496,8,85.62,259000,9.23,12,98,0,B,0,0,1,-1.213779129,0,1
1029794,6.2424,8,78.03,198716,9.27,13,85,0,B,0,0,0,-1.213779129,0,1
1029892,6.928,8,86.6,157600,8.89,12,91,0,B,0,0,0,-1.213779129,0,1
1289830,7.761956,8.93,86.92,178858,8.65,12,78,0,B,0,0,1,-1.213779129,0,1
766407,8.3538,9,92.82,537000,9.22,17,45,1,B,0,0,1,-1.213779129,0,1
1029443,5.5881,9,62.09,23210,8.83,5,107,1,C,0,0,0,-1.213779129,0,0
1029848,6.9768,9,77.52,141558,9.45,26,78,1,B,0,0,0,-1.213779129,0,1
1034029,7.92,9,88,350547,9,12,81,1,B,0,0,1,-1.213779129,0,1
1036680,7.6293,9,84.77,299908,9.02,14,41,1,B,0,0,1,-1.213779129,0,1
1129684,6.93,9,77,96476,8.99,12,81,1,B,0,0,0,-1.213779129,0,1
766428,8.747,10,87.47,276000,8.67,13,45,1,B,0,0,1,-1.213779129,0,1
1035248,8.795,10,87.95,300000,8.93,18,84,0,B,0,0,0,-1.213779129,0,1
1029658,10.945092,11.64,94.03,1308000,9.24,52,35,1,A,0,0,1,-1.213779129,1,0
1029857,10.954339,11.77,93.07,415824,8.88,20,37,1,B,0,0,0,-1.213779129,0,1
1025843,9.1596,12,76.33,438197,9.12,16,20,1,B,0,0,0,-1.213779129,0,1
1029452,12.1996,14,87.14,235441,8.98,11,122,0,B,0,0,0,-1.213779129,0,1
1029506,11.91175,14.5,82.15,109942,9.3,12,78,0,B,0,0,0,-1.213779129,0,1
1029515,12.44245,14.5,85.81,393902,8.77,27,47,1,A,0,0,1,-1.213779129,1,0
1039722,13.2037,14.5,91.06,315783,9.17,36,20,1,A,0,0,1,-1.213779129,1,0
1013868,14.7467,15.5,95.14,592953,8.95,40,18,0,A,0,0,0,-1.213779129,1,0
1029565,15.30625,15.5,98.75,1081641,9.22,50,24,0,A,0,0,1,-1.213779129,1,0
86081,17.6686,23,76.82,388325,20.43,22,22,0,A,1,0,1,-0.196562,1,0
380531,7.0755,15.9,44.5,10000,20.49,2,87,1,C,0,0,0,-0.191080175,0,0
110000,13.0834,19,68.86,46182,20.49,6,33,1,B,0,0,1,-0.191080175,0,1
380519,16.720384,19.21,87.04,509701,20.49,36,35,1,A,0,0,1,-0.191080175,1,0
380475,13.188,20,65.94,515965,20.36,31,19,0,A,0,0,1,-0.191080175,1,0
380557,16.307754,20.98,77.73,745911,19.94,38,26,1,A,0,0,1,-0.191080175,1,0
380221,22.82175,24.5,93.15,789636,20.59,40,21,0,A,0,0,1,-0.191080175,1,0
380226,26.3574,27,97.62,552080,20.66,42,15,0,A,0,0,1,-0.191080175,1,0
324738,23.621058,28.59,82.62,326174,25.45,6,25,0,B,1,0,0,0.808962754,0,1
329534,0.83997,16.47,5.1,50160,25.29,11,92,1,B,0,0,0,0.809839898,0,1
328730,12.042,18,66.9,7552,25.72,3,78,1,C,0,0,0,0.809839898,0,0
329415,12.43044,19.8,62.78,25000,25.46,4,92,0,C,0,0,0,0.809839898,0,0
324765,18.11639,20.74,87.35,77000,25.39,16,80,0,B,0,0,1,0.809839898,0,1
5513026,19.4124,21,92.44,16280,25.34,4,18,0,C,0,0,0,0.809839898,0,0
328244,8.327263,21.59,38.57,54553,25.09,7,83,1,B,0,0,1,0.809839898,0,1
324744,16.2756,21.6,75.35,73312,25.3,10,96,1,B,0,0,0,0.809839898,0,1
51396,18.950988,23.08,82.11,60000,25.84,4,95,1,B,0,0,0,0.809839898,0,1
325464,18.1467,23.4,77.55,136769,25.36,10,81,1,A,0,0,1,0.809839898,1,0
328584,23.4864,24,97.86,28000,25.3,3,20,0,C,0,0,0,0.809839898,0,0
326289,21.52584,25.2,85.42,19474,25.54,7,93,1,C,0,0,0,0.809839898,0,0
324764,6.34164,25.8,24.58,82298,25.74,20,101,1,B,0,0,0,0.809839898,0,1
117990,5.6532,26.92,21,20000,25.63,4,21,0,B,0,0,0,0.809839898,0,1
110824,23.146035,27.87,83.05,325000,25.63,15,50,0,A,0,0,1,0.809839898,1,0
326298,28.8,28.8,100,24681,25.41,3,21,0,B,0,0,0,0.809839898,0,1
326303,27.57312,28.8,95.74,17103,25.13,3,97,0,B,0,0,0,0.809839898,0,1
324747,24.714307,28.97,85.31,183178,25.59,11,17,0,A,0,0,1,0.809839898,1,0
324743,19.997814,30.09,66.46,238392,25.5,10,35,1,A,0,0,1,0.809839898,1,0
532350,30.415872,30.72,99.01,676596,25.38,20,5,0,A,0,0,0,0.809839898,1,0
324739,33.714,36,93.65,580000,25.28,24,17,0,A,0,0,1,0.809839898,1,0
