"deny","pi_exceed","black","poor_credit","selfemp","condomin","hschool","lvrat","pirat"
0,"no","no","yes","no","no","yes",0.903,0.34
0,"no","no","no","no","no","yes",0.902,0.332
0,"no","no","no","yes","no","yes",0.637,0.33
0,"yes","no","no","no","yes","yes",0.769,0.399
0,"no","no","no","no","no","yes",0.75,0.342
0,"yes","no","no","no","yes","yes",0.8,0.376
0,"no","no","no","no","yes","yes",0.889,0.321
0,"no","no","no","no","no","yes",0.752,0.279
0,"no","no","no","no","no","yes",0.894,0.317
0,"no","yes","no","yes","no","yes",0.65,0.285
0,"yes","no","no","no","no","yes",0.94,0.365
0,"no","no","no","no","no","yes",0.426,0.337
0,"no","no","no","no","yes","yes",0.679,0.35
0,"yes","no","no","no","yes","yes",0.885,0.352
0,"no","no","no","no","no","yes",0.939,0.35
0,"no","no","no","no","no","yes",0.902,0.344
0,"no","no","no","no","no","yes",0.738,0.28
0,"yes","no","no","no","no","yes",0.899,0.378
0,"no","no","no","no","no","yes",0.678,0.258
0,"no","no","no","yes","no","yes",0.802,0.218
0,"no","no","no","no","no","yes",0.553,0.23
0,"no","no","no","no","no","yes",0.652,0.285
1,"no","no","yes","no","no","yes",0.835,0.265
0,"yes","no","no","no","yes","yes",0.784,0.36
0,"no","no","no","no","no","yes",0.667,0.272
0,"yes","no","no","yes","yes","yes",0.801,0.36
1,"no","yes","no","no","no","yes",0.882,0.31
1,"yes","no","no","no","no","yes",0.903,0.359
0,"yes","no","no","no","no","yes",0.66,0.397
0,"no","no","no","yes","no","yes",0.747,0.34
1,"no","yes","no","no","no","yes",0.768,0.219
0,"no","no","no","no","no","yes",0.85,0.32
0,"no","no","no","no","no","yes",0.948,0.32
0,"no","no","no","no","no","yes",0.435,0.28
1,"yes","yes","no","no","no","yes",0.888,0.388
0,"no","no","no","no","yes","yes",0.783,0.25
0,"no","no","no","no","no","yes",0.8,0.34
0,"no","no","no","no","no","yes",0.731,0.32
0,"no","no","no","yes","no","yes",0.792,0.312
0,"no","no","no","no","yes","yes",0.58,0.33
0,"no","no","no","no","no","yes",0.636,0.32
0,"yes","no","no","no","no","yes",0.876,0.38
0,"no","no","no","no","no","yes",0.797,0.32
0,"no","no","no","no","no","yes",0.922,0.23
0,"no","no","no","no","no","yes",0.751,0.27
0,"no","no","no","no","no","yes",0.667,0.314
0,"no","no","no","no","no","yes",0.852,0.35
0,"no","no","no","yes","no","yes",0.743,0.32
0,"yes","no","no","no","no","yes",0.8,0.358
1,"no","no","no","no","no","yes",0.93,0.35
0,"no","no","no","no","no","yes",0.923,0.34
0,"no","no","no","yes","no","yes",0.8,0.31
0,"no","no","no","no","no","yes",0.703,0.29
1,"yes","no","no","no","no","yes",0.556,0.61
0,"no","no","no","no","no","yes",0.625,0.263
0,"no","no","no","no","no","yes",0.687,0.262
0,"yes","no","no","no","no","yes",0.787,0.36
1,"yes","no","no","yes","no","yes",1.106,0.46
0,"no","no","no","no","no","yes",0.667,0.305
0,"yes","no","no","no","no","yes",0.507,0.384
0,"no","no","no","yes","no","yes",0.788,0.264
0,"no","no","no","no","no","yes",0.302,0.33
1,"yes","yes","no","yes","no","yes",0.893,0.47
0,"no","no","no","no","no","yes",0.739,0.19
0,"no","no","no","no","no","yes",0.895,0.3
0,"yes","no","no","no","no","yes",0.739,0.36
0,"no","no","no","no","no","yes",0.7,0.33
0,"no","no","no","no","yes","yes",0.737,0.23
0,"yes","no","no","no","no","yes",0.8,0.41
0,"yes","no","no","no","no","yes",0.951,0.36
1,"yes","no","no","no","no","yes",0.695,0.41
0,"no","no","no","no","no","yes",0.682,0.33
1,"no","no","yes","no","yes","yes",0.571,0.29
0,"yes","no","no","no","no","yes",0.787,0.41
0,"no","no","no","no","no","yes",0.898,0.33
0,"no","no","no","no","no","yes",0.889,0.23
0,"yes","no","no","yes","no","yes",0.717,0.39
0,"yes","no","no","yes","no","yes",0.798,0.39
0,"no","no","no","no","no","yes",0.8,0.27
0,"yes","no","no","yes","yes","yes",0.8,0.384
0,"yes","yes","no","no","yes","yes",0.804,0.382
0,"yes","no","no","no","no","yes",0.581,0.37
0,"no","no","no","no","yes","yes",0.782,0.325
0,"yes","no","no","no","no","yes",0.643,0.398
0,"yes","no","no","no","yes","yes",0.8,0.395
0,"yes","no","no","no","yes","yes",0.749,0.407
0,"no","no","no","no","yes","yes",0.779,0.301
0,"yes","no","no","no","no","yes",0.9,0.365
0,"no","no","no","no","yes","yes",0.798,0.266
0,"no","no","no","no","yes","yes",0.895,0.268
0,"no","no","no","no","yes","yes",0.799,0.269
0,"yes","yes","no","no","no","yes",0.888,0.409
0,"no","no","no","no","no","yes",0.581,0.308
0,"no","no","no","no","yes","yes",0.667,0.311
0,"yes","yes","no","no","yes","yes",0.863,0.36
0,"yes","no","no","no","no","yes",0.813,0.39
0,"no","no","no","no","no","yes",0.732,0.32
0,"no","no","no","no","no","yes",0.315,0.18
0,"no","no","no","no","no","yes",0.38,0.34
0,"no","yes","no","no","yes","yes",0.869,0.328
1,"yes","yes","no","no","yes","yes",0.988,0.384
0,"no","yes","no","no","yes","yes",0.9,0.338
0,"no","no","no","no","no","yes",0.468,0.281
1,"yes","yes","yes","no","yes","yes",0.902,0.392
0,"yes","no","no","no","no","yes",0.471,0.363
0,"no","no","no","no","no","yes",0.311,0.246
0,"yes","no","no","no","no","yes",0.797,0.382
0,"no","no","no","no","no","yes",0.65,0.32
0,"no","yes","no","no","yes","yes",0.65,0.286
0,"no","no","no","no","no","yes",0.556,0.266
0,"no","yes","no","no","no","yes",0.901,0.315
0,"no","yes","no","no","no","yes",0.478,0.305
0,"no","no","no","no","no","yes",0.903,0.338
0,"yes","no","no","no","yes","yes",0.652,0.366
0,"yes","yes","no","yes","yes","yes",0.593,0.371
0,"yes","no","no","no","no","yes",0.316,0.381
0,"no","yes","no","no","yes","yes",0.899,0.35
0,"no","yes","no","no","no","yes",0.952,0.34
0,"no","no","no","no","no","yes",0.891,0.265
0,"no","no","no","no","no","yes",0.9,0.35
1,"yes","yes","no","no","yes","yes",0.902,0.39
1,"yes","no","no","yes","no","yes",0.78,0.39
0,"no","no","no","no","no","yes",0.402,0.3
0,"no","no","no","no","no","yes",0.709,0.29
0,"no","no","no","no","yes","yes",0.801,0.35
0,"yes","no","no","no","no","yes",0.833,0.39
0,"yes","yes","no","no","no","yes",0.904,0.36
0,"no","no","no","no","yes","yes",0.736,0.26
0,"yes","no","no","no","yes","yes",0.742,0.36
0,"no","no","no","no","no","yes",0.774,0.27
0,"yes","no","no","no","yes","yes",0.8,0.357
0,"no","yes","no","no","yes","yes",0.883,0.3
0,"yes","yes","no","no","yes","yes",0.906,0.39
0,"no","no","no","no","no","yes",0.898,0.31
1,"yes","no","no","yes","yes","yes",0.562,0.43
1,"yes","yes","yes","no","no","yes",0.531,0.4
0,"no","yes","no","no","no","yes",0.884,0.34
1,"yes","no","no","yes","no","yes",0.898,0.406
1,"no","no","no","no","no","yes",0.338,0.23
1,"yes","no","no","yes","no","yes",0.456,0.73
0,"yes","yes","no","no","yes","yes",0.577,0.38
0,"yes","yes","no","no","yes","yes",0.608,0.383
0,"no","no","no","no","yes","no",0.897,0.32
0,"no","no","no","no","no","yes",0.852,0.293
0,"no","no","no","no","yes","yes",0.256,0.24
0,"no","no","no","no","yes","yes",0.728,0.194
0,"no","yes","no","no","yes","yes",0.574,0.294
0,"yes","yes","no","no","yes","yes",0.608,0.382
0,"yes","yes","no","yes","yes","yes",0.608,0.38
0,"no","yes","no","no","no","yes",0.81,0.336
0,"yes","yes","no","no","yes","yes",0.608,0.39
0,"yes","yes","no","no","yes","yes",0.8,0.393
0,"no","no","no","no","no","yes",0.826,0.28
0,"no","no","no","no","no","yes",0.897,0.31
0,"yes","no","no","yes","yes","yes",0.8,0.384
0,"no","yes","no","no","no","yes",0.89,0.334
0,"no","yes","no","no","yes","yes",0.892,0.29
0,"no","no","no","no","yes","yes",0.746,0.331
0,"no","yes","no","no","no","yes",0.933,0.337
0,"no","no","no","no","no","no",0.861,0.342
1,"no","yes","no","no","no","yes",0.955,0.303
0,"no","no","no","no","yes","yes",0.792,0.319
0,"no","no","no","no","yes","yes",0.688,0.246
0,"no","no","no","yes","no","yes",0.753,0.286
0,"no","no","no","no","no","yes",0.798,0.27
0,"no","no","no","yes","no","yes",0.9,0.282
0,"no","no","no","yes","yes","yes",0.565,0.324
0,"no","no","no","yes","no","yes",0.738,0.348
0,"no","no","no","no","yes","yes",0.479,0.296
0,"no","no","no","no","no","no",0.532,0.32
0,"yes","no","no","yes","no","yes",0.408,0.4
0,"no","no","no","no","no","yes",0.749,0.276
0,"yes","no","no","no","no","yes",0.748,0.352
0,"no","no","no","no","no","yes",0.693,0.124
0,"no","no","no","no","yes","yes",1.908,0.34
0,"no","no","no","yes","no","yes",0.516,0.212
0,"no","no","no","no","no","yes",0.471,0.283
0,"no","no","no","no","no","yes",0.741,0.289
0,"no","no","no","no","no","yes",0.771,0.3
0,"yes","no","no","no","no","yes",0.736,0.36
0,"no","no","no","no","no","yes",0.564,0.32
1,"no","no","no","no","no","yes",0.688,0.32
0,"no","no","no","no","no","yes",0.736,0.26
0,"no","no","no","no","no","yes",0.708,0.26
1,"no","no","no","yes","yes","yes",0.794,0.32
0,"yes","yes","yes","no","no","yes",0.8,0.42
0,"no","no","no","no","yes","yes",0.643,0.34
0,"yes","no","no","no","no","yes",0.878,0.37
0,"no","no","no","no","no","yes",0.593,0.29
0,"no","no","no","no","no","yes",0.72,0.35
0,"yes","no","no","no","yes","yes",0.8,0.4
0,"yes","no","no","no","yes","yes",0.926,0.36
0,"yes","no","no","no","no","yes",0.705,0.38
0,"yes","no","no","no","no","yes",0.578,0.37
0,"yes","no","no","no","no","yes",0.706,0.41
0,"no","no","no","no","yes","yes",0.278,0.32
0,"no","no","no","no","no","yes",0.946,0.33
0,"no","no","no","no","no","yes",0.818,0.33
0,"no","no","no","no","no","yes",0.312,0.29
0,"yes","no","no","yes","no","yes",0.341,0.37
0,"yes","no","yes","no","no","yes",0.899,0.36
0,"yes","no","no","no","no","yes",0.765,0.37
0,"no","no","no","no","no","yes",0.529,0.3
0,"no","no","no","no","no","yes",0.812,0.34
0,"yes","no","no","yes","no","yes",0.75,0.42
0,"no","no","no","no","yes","yes",0.111,0.2
0,"no","no","no","no","no","yes",0.533,0.3
0,"yes","no","no","no","no","yes",0.934,0.38
0,"no","no","no","no","no","yes",0.921,0.34
0,"no","no","no","yes","no","yes",0.668,0.29
0,"no","no","no","no","no","yes",0.917,0.32
0,"yes","no","no","no","no","yes",0.944,0.36
0,"yes","no","no","no","no","yes",0.652,0.41
0,"no","no","no","no","yes","yes",0.474,0.32
0,"yes","yes","no","no","no","yes",0.824,0.38
0,"no","no","no","no","yes","yes",0.485,0.2
0,"no","no","no","no","no","yes",0.923,0.28
0,"no","no","no","no","no","yes",0.556,0.25
0,"no","no","no","no","no","yes",0.575,0.29
1,"yes","no","no","no","no","yes",0.916,0.49
0,"no","no","no","no","no","yes",0.889,0.33
0,"yes","no","no","no","no","yes",0.802,0.45
1,"yes","no","no","no","no","yes",0.923,0.41
0,"no","no","no","no","no","yes",0.839,0.35
0,"no","no","no","no","no","yes",0.351,0.35
0,"no","no","no","yes","no","yes",0.733,0.08
0,"no","no","no","no","no","yes",0.504,0.25
0,"yes","no","no","no","no","yes",0.727,0.48
0,"yes","no","no","yes","yes","yes",1.465,0.36
0,"no","no","no","no","no","yes",0.841,0.32
0,"no","no","no","no","no","yes",0.844,0.27
0,"no","no","no","no","no","yes",0.793,0.34
0,"no","no","yes","no","no","yes",0.785,0.33
0,"no","no","yes","no","no","yes",0.629,0.28
0,"no","no","no","no","no","yes",0.899,0.34
0,"yes","no","no","no","no","yes",0.756,0.37
0,"no","no","no","no","no","yes",0.735,0.3
0,"yes","no","no","no","no","yes",0.689,0.36
0,"yes","no","no","yes","no","yes",0.501,0.355
0,"no","no","no","yes","no","yes",0.731,0.25
0,"no","no","no","no","no","yes",0.35,0.14
0,"yes","no","no","yes","yes","yes",0.417,0.44
0,"yes","no","no","no","no","yes",1.148,0.45
0,"yes","no","no","yes","no","yes",0.802,0.37
0,"no","no","no","no","no","yes",0.797,0.34
0,"no","no","no","no","yes","yes",0.787,0.27
0,"no","no","no","no","no","yes",0.635,0.23
0,"no","no","no","no","no","yes",0.947,0.34
0,"no","no","no","no","no","yes",0.728,0.33
0,"yes","no","no","no","no","yes",0.786,0.375
0,"no","no","no","no","no","yes",0.774,0.336
0,"no","no","no","no","no","yes",0.629,0.278
0,"yes","no","no","no","no","yes",0.489,0.41
0,"yes","no","no","no","no","yes",0.517,0.363
0,"no","no","no","no","no","yes",0.782,0.309
0,"yes","no","no","no","no","yes",0.719,0.366
0,"no","no","no","no","no","yes",0.876,0.315
0,"no","no","no","no","yes","yes",0.81,0.275
0,"no","no","no","no","no","yes",0.504,0.35
0,"no","no","no","no","no","yes",0.714,0.333
0,"no","no","no","no","no","yes",0.469,0.32
1,"no","no","no","no","yes","yes",0.783,0.264
1,"no","no","no","no","no","yes",0.5,0.34
1,"no","no","no","no","no","yes",0.5,0.34
0,"yes","no","no","no","no","yes",0.719,0.361
0,"yes","no","no","yes","no","yes",0.884,0.377
0,"no","yes","no","no","no","yes",0.862,0.301
0,"yes","no","no","no","no","yes",0.75,0.54
0,"yes","no","no","no","no","yes",0.623,0.351
0,"yes","no","no","no","yes","yes",0.919,0.389
1,"yes","no","no","yes","no","yes",0.794,0.43
1,"yes","no","yes","yes","no","yes",0.798,0.43
0,"no","no","no","no","no","yes",0.658,0.15
0,"no","no","no","no","no","yes",0.896,0.34
0,"no","no","no","no","yes","yes",0.7,0.31
0,"yes","no","no","no","no","yes",0.911,0.37
0,"no","no","no","no","no","yes",0.883,0.31
0,"no","no","no","no","yes","yes",0.895,0.3
0,"no","no","no","no","no","yes",0.203,0.16
0,"yes","no","no","no","no","yes",0.843,0.36
0,"yes","no","no","no","no","yes",0.734,0.36
0,"yes","no","no","no","no","yes",0.695,0.4
0,"yes","no","no","no","yes","yes",0.842,0.37
0,"no","no","no","yes","no","yes",0.474,0.28
0,"yes","no","yes","no","no","yes",0.515,0.43
0,"yes","no","yes","no","no","yes",0.863,0.36
0,"no","no","no","yes","no","yes",0.631,0.24
0,"yes","no","no","yes","no","yes",0.651,0.47
0,"no","yes","no","no","yes","yes",0.644,0.08
0,"no","no","no","no","no","yes",0.567,0.24
0,"no","no","no","no","no","yes",0.653,0.22
0,"no","no","no","no","no","yes",0.32,0.14
0,"no","no","no","no","no","yes",0.289,0.21
0,"no","no","no","no","no","yes",0.629,0
1,"no","no","no","no","yes","yes",0.783,0.21
0,"yes","no","no","no","yes","yes",0.148,0.395
0,"no","no","no","no","no","yes",0.625,0.3
0,"yes","no","no","no","no","yes",0.8,0.36
0,"no","no","no","no","no","yes",0.551,0.28
0,"no","no","no","no","no","yes",0.797,0.26
0,"no","no","no","no","no","yes",0.689,0.28
0,"no","no","no","yes","no","no",0.329,0.304
0,"no","no","no","no","no","yes",0.307,0.314
0,"no","no","no","no","no","yes",0.762,0.302
0,"no","no","no","no","yes","yes",0.453,0.2
0,"no","no","no","no","no","yes",0.714,0.275
1,"no","no","no","no","no","yes",0.803,0.318
0,"yes","no","no","no","no","yes",0.6,0.45
0,"yes","no","no","no","no","yes",0.7,0.357
0,"no","no","no","no","no","yes",0.664,0.254
0,"no","no","no","no","yes","yes",0.4,0.241
0,"no","no","no","no","no","yes",0.339,0.28
1,"yes","no","no","yes","no","yes",1.182,0.417
1,"yes","no","no","no","no","yes",0.627,0.389
1,"no","no","no","no","no","yes",0.731,0.341
0,"no","no","no","no","yes","yes",0.832,0.27
1,"no","no","no","no","no","yes",0.884,0.35
0,"no","no","no","no","yes","yes",0.55,0.35
0,"no","no","no","no","yes","yes",0.8,0.32
1,"no","no","no","no","yes","yes",0.8,0.32
0,"yes","no","no","no","yes","yes",0.904,0.37
0,"no","yes","yes","no","yes","yes",0.902,0.35
0,"yes","yes","yes","no","yes","yes",0.904,0.44
0,"yes","yes","yes","no","yes","yes",0.893,0.4
0,"no","yes","no","no","yes","yes",0.714,0.29
0,"yes","yes","yes","no","yes","yes",0.952,0.41
0,"no","yes","no","no","yes","yes",0.833,0.25
0,"yes","no","no","no","yes","yes",0.8,0.4
0,"yes","yes","yes","yes","yes","yes",0.91,0.43
0,"yes","yes","yes","no","yes","yes",0.899,0.41
0,"yes","no","no","no","yes","yes",0.882,0.49
0,"yes","no","no","no","yes","yes",0.794,0.41
0,"no","no","no","yes","no","yes",0.637,0.26
1,"yes","no","yes","no","yes","yes",0.805,0.367
0,"yes","no","no","no","yes","yes",0.215,0.39
0,"yes","no","no","no","yes","yes",0.625,0.37
0,"no","no","no","no","yes","yes",0.02,0.33
0,"no","no","no","no","no","yes",0.781,0.28
0,"yes","no","no","no","yes","yes",0.781,0.36
0,"no","no","no","no","no","yes",0.656,0.35
0,"no","no","no","no","no","yes",0.78,0.32
0,"yes","no","no","no","yes","yes",0.2,0.38
0,"no","no","no","no","no","yes",0.847,0.35
0,"yes","no","no","no","no","yes",0.547,0.36
0,"no","no","no","no","no","yes",0.64,0.25
0,"yes","yes","no","no","yes","yes",0.882,0.47
1,"no","no","no","no","no","yes",0.786,0.18
0,"no","no","no","no","yes","yes",0.739,0.29
0,"no","no","no","no","no","yes",0.657,0.25
0,"no","no","no","no","no","yes",0.607,0.26
0,"no","no","no","no","no","yes",0.395,0.29
0,"no","no","no","yes","no","yes",0.717,0.29
0,"no","no","no","no","no","yes",0.74,0.27
0,"no","no","no","no","no","yes",0.635,0.29
1,"no","yes","yes","no","no","yes",0.613,0.21
0,"yes","no","no","yes","no","yes",0.547,0.95
0,"no","no","no","no","no","yes",0.93,0.25
0,"no","no","no","no","no","no",0.617,0.22
0,"yes","no","no","no","no","yes",0.702,0.37
0,"yes","no","no","no","no","yes",0.919,0.4
0,"no","no","no","no","no","yes",0.697,0.29
1,"yes","no","no","no","no","yes",1,0.36
0,"no","no","no","no","no","yes",0.73,0.32
0,"yes","no","no","yes","no","yes",0.435,0.38
1,"yes","no","no","yes","no","yes",0.653,0.37
0,"yes","no","no","no","no","yes",0.64,0.4
0,"no","no","no","no","yes","yes",0.571,0.24
0,"yes","no","no","yes","no","yes",0.401,0.37
0,"no","no","no","no","no","yes",0.803,0.35
0,"yes","no","no","no","yes","yes",0.787,0.41
0,"yes","no","no","no","no","yes",0.667,0.41
0,"no","yes","no","no","no","yes",0.754,0.32
0,"no","no","no","no","no","yes",0.904,0.34
0,"yes","no","no","no","no","yes",0.839,0.39
0,"no","no","no","no","no","yes",0.163,0.239
0,"no","no","no","yes","no","yes",0.406,0.331
0,"yes","no","no","no","no","yes",0.556,0.355
0,"yes","no","no","no","no","yes",0.896,0.409
0,"no","no","no","no","yes","yes",0.103,0.165
0,"no","no","no","no","no","yes",0.491,0.307
0,"no","no","no","no","no","yes",0.68,0.235
0,"no","no","no","no","no","yes",0.553,0.313
0,"no","no","no","no","no","yes",0.669,0.266
0,"no","no","no","yes","no","yes",0.748,0.231
0,"no","no","no","no","no","yes",0.579,0.304
0,"no","no","no","no","no","yes",0.523,0.347
0,"yes","no","no","yes","no","yes",0.485,0.351
0,"no","no","yes","no","no","yes",0.945,0.321
0,"yes","no","no","no","no","yes",0.554,0.381
1,"yes","no","no","no","yes","yes",0.87,0.472
1,"yes","yes","no","no","no","yes",0.951,0.425
0,"no","no","no","no","no","yes",0.798,0.319
0,"no","no","no","yes","no","yes",0.481,0.07
0,"no","no","no","no","no","yes",0.939,0.341
0,"no","no","no","no","no","yes",0.204,0.349
0,"no","no","no","no","no","yes",0.864,0.338
0,"yes","yes","no","no","no","yes",0.798,0.396
0,"yes","no","no","yes","no","yes",0.8,0.39
0,"no","no","no","no","yes","yes",0.711,0.275
0,"no","no","no","no","yes","yes",0.803,0.31
0,"yes","no","no","no","yes","yes",0.784,0.468
0,"yes","yes","no","yes","no","yes",0.743,0.389
0,"no","no","no","no","yes","yes",0.189,0.242
0,"yes","no","no","yes","no","yes",0.789,0.692
1,"yes","yes","no","no","yes","yes",0.899,0.576
0,"yes","no","no","no","yes","no",0.75,0.354
1,"yes","yes","no","no","yes","yes",0.952,0.479
0,"yes","no","no","no","no","yes",0.751,0.356
1,"yes","yes","no","no","no","yes",0.861,0.363
0,"no","yes","no","no","yes","yes",0.355,0.264
0,"no","no","no","no","yes","yes",0.349,0.173
0,"yes","no","no","no","no","yes",0.859,0.365
0,"yes","no","no","no","no","yes",0.794,0.405
0,"no","no","no","no","yes","yes",0.782,0.252
0,"no","yes","no","no","yes","yes",0.68,0.248
0,"yes","no","no","no","yes","yes",0.279,0.391
0,"no","no","no","no","yes","yes",0.596,0.283
0,"no","no","no","no","no","yes",0.652,0.304
0,"no","yes","no","no","no","yes",0.8,0.056
0,"yes","no","no","no","yes","yes",0.8,0.384
1,"yes","no","no","no","no","yes",0.755,0.584
0,"no","no","no","no","yes","yes",0.791,0.263
0,"no","no","no","no","yes","yes",0.667,0.253
0,"no","no","no","no","no","yes",0.802,0.316
0,"yes","no","no","no","yes","yes",0.875,0.358
0,"yes","no","no","no","no","yes",0.795,0.369
0,"no","no","no","no","yes","yes",0.75,0.222
0,"no","no","no","no","yes","yes",0.665,0.253
0,"no","no","no","no","yes","yes",0.576,0.184
0,"yes","no","no","no","yes","yes",0.887,0.4
0,"no","no","no","no","no","yes",0.793,0.34
1,"no","no","yes","no","no","yes",0.8,0.304
0,"yes","no","no","yes","yes","yes",0.702,0.41
1,"no","no","yes","no","yes","yes",1,0.18
0,"yes","no","no","yes","no","yes",0.711,0.4
0,"no","no","no","no","no","yes",0.777,0.31
0,"yes","no","no","no","no","yes",0.463,0.53
0,"no","no","no","no","no","yes",0.79,0.326
0,"yes","no","no","no","yes","yes",0.613,0.392
0,"no","no","no","no","no","yes",0.359,0.225
0,"yes","no","yes","no","no","yes",0.775,0.382
0,"no","yes","no","no","no","yes",0.902,0.338
0,"no","no","no","no","no","yes",0.912,0.16
1,"no","yes","no","no","no","yes",1.111,0.3
0,"no","no","no","yes","no","yes",0.548,0.1
0,"no","no","no","no","yes","yes",0.939,0.2
0,"no","no","no","no","yes","yes",0.729,0.08
0,"no","no","no","yes","no","yes",0.783,0.1
0,"no","yes","no","no","no","yes",1.225,0.17
0,"no","no","no","no","no","yes",0.798,0.29
0,"yes","no","no","no","yes","yes",0.922,0.37
0,"yes","no","no","no","yes","yes",0.681,0.36
0,"no","no","no","no","yes","yes",0.893,0.25
1,"yes","no","yes","no","no","yes",0.8,0.36
0,"yes","no","no","no","no","yes",0.891,0.39
0,"yes","no","no","no","yes","yes",0.775,0.38
0,"yes","no","no","yes","yes","yes",0.8,0.4
0,"yes","no","no","no","no","yes",0.8,0.36
0,"yes","no","no","yes","yes","yes",0.919,0.38
0,"no","no","no","no","no","yes",0.659,0.33
0,"yes","no","no","no","no","yes",0.784,0.37
0,"no","yes","yes","yes","yes","yes",0.799,0.22
0,"no","no","yes","no","no","yes",0.424,0.3
0,"yes","no","no","no","yes","yes",0.914,0.36
0,"yes","no","no","no","no","yes",0.896,0.41
0,"no","no","no","no","yes","yes",0.684,0.35
0,"no","no","no","no","no","yes",0.8,0.32
1,"yes","yes","yes","no","no","yes",0.926,0.41
0,"no","no","no","no","no","yes",0.897,0.32
0,"yes","no","no","no","no","yes",0.877,0.4
1,"no","yes","no","no","no","yes",0.8,0.33
0,"no","no","no","no","no","yes",0.902,0.28
0,"no","no","no","no","no","yes",0.44,0.35
1,"yes","yes","no","no","yes","yes",0.783,0.4
1,"no","yes","yes","yes","yes","yes",0.901,0.3
0,"no","no","no","no","yes","yes",0.874,0.35
0,"no","no","no","no","no","yes",0.701,0.2
0,"no","no","no","no","no","yes",0.375,0.29
0,"yes","no","no","no","no","yes",0.82,0.36
0,"no","no","no","no","no","yes",0.35,0.34
0,"no","no","no","no","no","yes",0.397,0.26
0,"no","no","no","no","no","yes",0.639,0.28
0,"yes","no","no","no","no","yes",0.402,0.43
0,"no","no","no","yes","yes","yes",0.797,0.27
0,"no","no","no","no","no","yes",0.746,0.28
0,"no","no","no","no","no","yes",0.852,0.27
0,"yes","no","no","no","no","yes",0.64,0.36
0,"no","no","no","no","no","yes",0.625,0.35
0,"no","no","no","no","no","yes",0.859,0.33
0,"no","no","no","no","no","yes",0.743,0.32
0,"no","no","no","no","no","yes",0.5,0.23
0,"yes","no","no","no","no","yes",0.487,0.37
0,"no","no","no","no","no","yes",0.68,0.331
1,"yes","no","no","no","no","yes",0.543,0.351
0,"yes","no","no","no","no","yes",0.753,0.457
0,"yes","no","no","no","no","yes",0.903,0.352
1,"yes","no","no","no","no","yes",0.923,0.417
0,"no","no","no","no","no","yes",0.795,0.219
1,"no","no","no","yes","no","yes",0.603,0.205
0,"yes","no","no","no","yes","no",0.784,0.461
0,"no","no","no","no","no","yes",0.576,0.347
